AWP | Pit Viper (Minimal Wear)
FAMAS | Colony (Well-Worn)
Five-SeveN | Monkey Business (Field-Tested)
Nova | Rising Skull (Minimal Wear)
StatTrak™ Desert Eagle | Naga (Well-Worn)
AWP | Pit Viper (Field-Tested)
MP7 | Armor Core (Field-Tested)
AUG | Chameleon (Field-Tested)
AUG | Torque (Factory New)
AUG | Wings (Factory New)
P250 | Franklin (Minimal Wear)
M4A4 | Desert-Strike (Field-Tested)
AK-47 | Emerald Pinstripe (Field-Tested)
M4A4 | Evil Daimyo (Field-Tested)
SSG 08 | Acid Fade (Factory New)
PP-Bizon | Osiris (Factory New)
AWP | Worm God (Minimal Wear)
P90 | Desert Warfare (Well-Worn)
USP-S | Guardian (Field-Tested)
StatTrak™ Five-SeveN | Nightshade (Field-Tested)
AWP | Worm God (Field-Tested)
USP-S | Guardian (Factory New)
StatTrak™ Glock-18 | Catacombs (Field-Tested)
Operation Phoenix Weapon Case
P250 | Cartel (Field-Tested)
StatTrak™ Tec-9 | Isaac (Well-Worn)
StatTrak™ Glock-18 | Bunsen Burner (Field-Tested)
StatTrak™ SSG 08 | Dark Water (Field-Tested)
CZ75-Auto | Tigris (Factory New)
Sticker | Flipsid3 Tactics (Foil) | Cologne 2015
StatTrak™ Negev | Terrain (Minimal Wear)
M4A4 | Griffin (Minimal Wear)
M4A4 | Evil Daimyo (Minimal Wear)
StatTrak™ PP-Bizon | Water Sigil (Well-Worn)
StatTrak™ P250 | Supernova (Field-Tested)
StatTrak™ Tec-9 | Isaac (Field-Tested)
StatTrak™ Galil AR | Stone Cold (Battle-Scarred)
StatTrak™ FAMAS | Neural Net (Minimal Wear)
CZ75-Auto | Yellow Jacket (Minimal Wear)
M4A1-S | Bright Water (Field-Tested)
AWP | Safari Mesh (Battle-Scarred)
Five-SeveN | Fowl Play (Factory New)
M4A4 | Evil Daimyo (Battle-Scarred)
M4A4 | Griffin (Field-Tested)
Five-SeveN | Monkey Business (Well-Worn)
AK-47 | Blue Laminate (Minimal Wear)
P2000 | Corticera (Minimal Wear)
Desert Eagle | Conspiracy (Field-Tested)
Five-SeveN | Nitro (Field-Tested)
Five-SeveN | Case Hardened (Field-Tested)
UMP-45 | Grand Prix (Field-Tested)
SG 553 | Army Sheen (Minimal Wear)
Tec-9 | Sandstorm (Field-Tested)
StatTrak™ CZ75-Auto | Pole Position (Field-Tested)
SG 553 | Army Sheen (Field-Tested)
StatTrak™ Desert Eagle | Naga (Field-Tested)
P2000 | Silver (Factory New)
StatTrak™ Glock-18 | Catacombs (Factory New)
StatTrak™ MAG-7 | Heat (Minimal Wear)
M4A1-S | Basilisk (Field-Tested)
AUG | Torque (Minimal Wear)
Glock-18 | Steel Disruption (Field-Tested)
SG 553 | Pulse (Minimal Wear)
StatTrak™ MAC-10 | Rangeen (Factory New)
StatTrak™ Tec-9 | Isaac (Battle-Scarred)
StatTrak™ Negev | Loudmouth (Field-Tested)
MP7 | Skulls (Field-Tested)
Dual Berettas | Marina (Minimal Wear)
AK-47 | Emerald Pinstripe (Battle-Scarred)
StatTrak™ SSG 08 | Dark Water (Minimal Wear)
M4A1-S | Blood Tiger (Field-Tested)
Glock-18 | Blue Fissure (Minimal Wear)
StatTrak™ USP-S | Torque (Field-Tested)
Desert Eagle | Crimson Web (Field-Tested)
FAMAS | Hexane (Minimal Wear)
StatTrak™ G3SG1 | Azure Zebra (Factory New)
Glock-18 | Reactor (Battle-Scarred)
USP-S | Caiman (Factory New)
CZ75-Auto | Victoria (Field-Tested)
StatTrak™ MAC-10 | Malachite (Minimal Wear)
FAMAS | Djinn (Field-Tested)
P2000 | Pathfinder (Minimal Wear)
P250 | Wingshot (Battle-Scarred)
StatTrak™ MAG-7 | Cobalt Core (Factory New)
StatTrak™ FAMAS | Survivor Z (Minimal Wear)
StatTrak™ Desert Eagle | Bronze Deco (Field-Tested)
MP7 | Ocean Foam (Factory New)
StatTrak™ UMP-45 | Grand Prix (Field-Tested)
FAMAS | Doomkitty (Minimal Wear)
Five-SeveN | Urban Hazard (Factory New)
MAC-10 | Malachite (Factory New)
MP7 | Asterion (Factory New)
StatTrak™ SSG 08 | Slashed (Field-Tested)
USP-S | Para Green (Minimal Wear)
P250 | Supernova (Factory New)
StatTrak™ Tec-9 | Sandstorm (Well-Worn)
StatTrak™ CZ75-Auto | Hexane (Field-Tested)
FAMAS | Sergeant (Field-Tested)
StatTrak™ CZ75-Auto | Twist (Minimal Wear)
Sawed-Off | Bamboo Shadow (Factory New)
Five-SeveN | Kami (Factory New)
Glock-18 | Grinder (Minimal Wear)
StatTrak™ Glock-18 | Catacombs (Minimal Wear)
USP-S | Guardian (Minimal Wear)
P2000 | Handgun (Minimal Wear)
P2000 | Amber Fade (Minimal Wear)
Tec-9 | Brass (Field-Tested)
CZ75-Auto | Tread Plate (Factory New)
StatTrak™ MAG-7 | Firestarter (Minimal Wear)
P2000 | Red FragCam (Factory New)
Five-SeveN | Silver Quartz (Factory New)
AWP | Safari Mesh (Minimal Wear)
Tec-9 | Blue Titanium (Factory New)
Dual Berettas | Moon in Libra (Factory New)
USP-S | Royal Blue (Field-Tested)
Galil AR | Stone Cold (Minimal Wear)
MAC-10 | Tatter (Minimal Wear)
MAC-10 | Tatter (Well-Worn)
P90 | Elite Build (Factory New)
Dual Berettas | Dualing Dragons (Factory New)
Tec-9 | Bamboo Forest (Factory New)
AK-47 | Predator (Well-Worn)
Glock-18 | Blue Fissure (Battle-Scarred)
P90 | Module (Factory New)
